Sample-Name	Source-Name	Flight	location	pma	space
2332	HEPA	1	0	NORM	FLT
2333	HEPA-P	1	0	PMA	FLT
5492	IG2SW-M	1	2	NORM	GC
5494	IG4SW-M	1	4	NORM	GC
5501	IG2SW-P-M	1	2	PMA	GC
5503	IG4SW-P-M	1	4	PMA	GC
5629	IF1SW-M	1	1	NORM	FLT
5630	IF2SW-M	1	2	NORM	FLT
5631	IF3SW-P-M	1	3	PMA	FLT
5632	IF4SW-M	1	4	NORM	FLT
5633	IF5SW-M	1	5	NORM	FLT
5635	IF7SW-M	1	7	NORM	FLT
5636	IF8SW-M	1	8	NORM	FLT
5640	IF1SW-P-M	1	1	PMA	FLT
5641	IF2SW-P-M	1	2	PMA	FLT
5642	IF3SW-M	1	3	NORM	FLT
5643	IF4SW-P-M	1	4	PMA	FLT
5644	IF5SW-P-M	1	5	PMA	FLT
5646	IF7SW-P-M	1	7	PMA	FLT
5647	IF8SW-P-M	1	8	PMA	FLT
5710	IIG1SW-M	2	1	NORM	GC
5716	IIG7SW-M	2	7	NORM	GC
5720	IIG1SW-P-M	2	1	PMA	GC
5726	IIG7SW-P-M	2	7	PMA	GC
5806	IIF1SW-M	2	1	NORM	FLT
5808	IIF3SW-M	2	3	NORM	FLT
5809	IIF4SW-M	2	4	NORM	FLT
5810	IIF5SW-M	2	5	NORM	FLT
5812	IIF7SW-M	2	7	NORM	FLT
5813	IIF8SW-M	2	8	NORM	FLT
5816	IIF1SW-P-M	2	1	PMA	FLT
5817	IIF2SW-P-M	2	2	PMA	FLT
5818	IIF3SW-P-M	2	3	PMA	FLT
5819	IIF4SW-P-M	2	4	PMA	FLT
5820	IIF5SW-P-M	2	5	PMA	FLT
5822	IIF7SW-P-M	2	7	PMA	FLT
5823	IIF8SW-P-M	2	8	PMA	FLT
5863	IIF2SW-M	2	2	NORM	FLT
5867	IIF2SW-P-M	2	2	PMA	FLT
SRX3808505	IIIF1SW-P-M	3	1	PMA	FLT
SRX3808504	IIIF2SW-P-M	3	2	PMA	FLT
SRX3808503	IIIF3SW-P-M	3	3	PMA	FLT
SRX3808508	IIIF4SW-P-M	3	4	PMA	FLT
SRX3808507	IIIF5SW-P-M	3	5	PMA	FLT
SRX3808529	IIIF7SW-P-M	3	7	PMA	FLT
SRX3808530	IIIF8SW-P-M	3	8	PMA	FLT
SRX3808512	IIIF1SW-M	3	1	NORM	FLT
SRX3808511	IIIF2SW-M	3	2	NORM	FLT
SRX3808514	IIIF3SW-M	3	3	NORM	FLT
SRX3808513	IIIF4SW-M	3	4	NORM	FLT
SRX5808510	IIIF5SW-M	3	5	NORM	FLT
SRX3808509	IIIF7SW-M	3	7	NORM	FLT
SRX3808535	IIIF8SW-M	3	8	NORM	FLT
